500
1m0.069748103s 380.910725ms
59.968433207s 382.388293ms
59.993160055s 382.669947ms
59.980521439s 385.940947ms
1m0.040509996s 380.2435ms
1m0.104044823s 383.29394ms
1m0.036194088s 382.329713ms
59.969749355s 388.253145ms
59.947547959s 380.580873ms

36000
1m0.855273673s 383.354293ms
1m0.930154606s 383.026068ms
1m0.832707467s 381.903663ms
1m0.90215521s 377.593533ms
1m0.918833213s 377.954348ms
1m0.971827447s 380.797441ms
1m0.969713077s 376.751128ms
1m0.883859906s 377.304278ms
1m0.819371276s 377.388971ms
1m0.817829174s 387.195769ms
1m0.87227925s 391.708739ms

36500
1m1.638515832s 382.610295ms
1m1.757304569s 382.572915ms
1m1.580712761s 381.028307ms
1m2.00040261s 385.951971ms
1m1.723406388s 382.971151ms
1m1.788941999s 381.14143ms
1m1.614474937s 382.916627ms
1m1.634654268s 381.118157ms
1m1.660238029s 382.798099ms
1m1.748637815s 389.432865ms
1m1.670558191s 384.721691ms

37000
1m2.60763697s 389.213141ms
1m2.447839536s 392.017717ms
1m2.511578333s 395.524922ms
1m2.551990922s 393.936841ms
1m2.397860704s 395.271314ms
1m2.521243217s 388.420092ms
1m2.416980776s 390.675588ms
1m2.495949005s 387.535562ms
1m2.461719632s 391.788515ms
1m2.491772639s 392.073186ms
1m2.4746478s 400.127645ms

37500
1m3.261683439s 382.06972ms
1m3.280394342s 385.970253ms
1m3.333483011s 386.50794ms
1m3.304182356s 382.973408ms
1m3.327873119s 388.685411ms
1m3.401530783s 382.234111ms
1m3.386565038s 387.456447ms
1m3.348446316s 385.554878ms
1m3.350595073s 381.162779ms
1m3.29293589s 385.866149ms
1m3.347047949s 387.221208ms

38000
1m4.16323031s 387.689083ms
1m4.169322032s 392.384395ms
1m4.115324132s 399.73092ms
1m4.135406902s 389.649877ms
1m4.17527695s 394.10326ms
1m4.217771074s 404.492204ms
1m4.111129444s 387.465727ms
1m4.166079908s 388.165577ms
1m4.098657553s 391.557113ms
1m4.120631977s 387.952034ms
1m4.307506493s 394.388799ms

38500
1m4.927466962s 379.469281ms
1m4.980748407s 380.835089ms
1m5.04468678s 386.907116ms
1m5.085698471s 380.672645ms
1m4.986186358s 393.985157ms
1m5.055026251s 393.57457ms
1m5.058357073s 381.855166ms
1m5.07629854s 384.30933ms
1m5.113465049s 381.944844ms
1m5.088394097s 378.855443ms
1m5.034393182s 380.810677ms

39000
1m5.4369465s 397.132864ms
1m5.473469258s 394.440952ms
1m6.560192053s 403.88559ms
1m6.136757246s 398.532645ms
1m5.621594115s 397.347012ms
1m5.66760446s 402.673723ms
1m5.497245543s 398.28246ms
1m5.475786773s 395.482856ms
1m5.522887054s 398.771046ms
1m5.455759442s 396.361011ms
1m5.4554179s 395.856928ms

39500
1m6.347477149s 376.633687ms
1m6.282755071s 377.530549ms
1m6.251242203s 377.179586ms
1m6.273246612s 386.734962ms
1m6.286306368s 376.692173ms
1m6.296092311s 376.336887ms
1m6.402985086s 378.859454ms
1m6.367996559s 391.484318ms
